game,gameLabel,sitelinks
http://www.wikidata.org/entity/Q691462,Leisure Suit Larry 7 Love for Sail,13
http://www.wikidata.org/entity/Q433707,Professor Layton and the Azran Legacies,13
http://www.wikidata.org/entity/Q478583,London 2012,13
http://www.wikidata.org/entity/Q495044,Knight Online,13
http://www.wikidata.org/entity/Q507627,Stardoll,13
http://www.wikidata.org/entity/Q770677,Sega Rally Revo,13
http://www.wikidata.org/entity/Q745044,Devil World,13
http://www.wikidata.org/entity/Q781169,Transformers Fall of Cybertron,13
http://www.wikidata.org/entity/Q782279,Project Gotham Racing 3,13
http://www.wikidata.org/entity/Q780496,Wonder Boy,13
http://www.wikidata.org/entity/Q810984,Battle Arena Toshinden,13
http://www.wikidata.org/entity/Q553054,Mr. Gimmick,13
http://www.wikidata.org/entity/Q379017,Castle of Illusion Starring Mickey Mouse,12
http://www.wikidata.org/entity/Q392778,James Bond 007 Agent Under Fire,12
http://www.wikidata.org/entity/Q408798,Airline Tycoon,12
http://www.wikidata.org/entity/Q445221,Defender II,12
http://www.wikidata.org/entity/Q733488,The King of Fighters XI,12
http://www.wikidata.org/entity/Q736939,Asphalt Urban GT,12
http://www.wikidata.org/entity/Q12813511,Age of Empires II HD The Forgotten,12
http://www.wikidata.org/entity/Q751167,No One Lives Forever 2 A Spy in H.A.R.M.'s Way,12
http://www.wikidata.org/entity/Q2473,Heroes of Might and Magic V Tribes of the East,12
http://www.wikidata.org/entity/Q787462,Golden Axe II,12
http://www.wikidata.org/entity/Q796510,Breath of Fire IV,12
http://www.wikidata.org/entity/Q815412,Light up,12
http://www.wikidata.org/entity/Q278564,Colin McRae Rally 3,11
http://www.wikidata.org/entity/Q300483,A Mind Forever Voyaging,11
http://www.wikidata.org/entity/Q369264,Super Bomberman 3,11
http://www.wikidata.org/entity/Q385270,Bionic Commando,11
http://www.wikidata.org/entity/Q384153,Speedball,11
http://www.wikidata.org/entity/Q386452,Imperialism,11
http://www.wikidata.org/entity/Q388247,Might and Magic III Isles of Terra,11
http://www.wikidata.org/entity/Q390004,The King of Fighters 2001,11
http://www.wikidata.org/entity/Q720190,Contra Legacy of War,11
http://www.wikidata.org/entity/Q515279,Tribes Ascend,11
http://www.wikidata.org/entity/Q515649,Adventures of Lolo 2,11
http://www.wikidata.org/entity/Q765985,Motorstorm Apocalypse,11
http://www.wikidata.org/entity/Q766232,Counter-Strike Neo,11
http://www.wikidata.org/entity/Q747882,Asterix Obelix XXL,11
http://www.wikidata.org/entity/Q1048197,Rally Trophy,11
http://www.wikidata.org/entity/Q784447,Bust-A-Move 3,11
http://www.wikidata.org/entity/Q550260,Resistance Retribution,11
