"Rank","Name","Symbol","marketcap","price (USD)","country"
"198","Garo Aktiebolag","GARO.ST","59032189","1.18064","Sweden"
"199","Doxa AB","DOXA.ST","58307268","0.0453566","Sweden"
"200","Meds Apotek AB","MEDS.ST","54915881","2.95689","Sweden"
"201","Fractal Gaming Group","FRACTL.ST","54216768","1.85862","Sweden"
"202","Pricer AB","PRIC-B.ST","48834543","0.298857","Sweden"
"203","G5 Entertainment","G5EN.ST","46719025","5.86098","Sweden"
"204","Mentice AB","MNTC.ST","39800248","1.41508","Sweden"
"205","Balco Group","BALCO.ST","35859606","1.55765","Sweden"
"206","Navigo Invest","NAVIGO-STAM.ST","29385904","0.338986","Sweden"
"207","Scandinavian Enviro Systems","SES.ST","29276411","0.0267176","Sweden"
"208","Neonode","NEON","23496094","1.4","Sweden"
"209","Netel Holding","NETEL.ST","21388563","0.440893","Sweden"
"210","EMB Mission Bound AB (publ)","EMB.ST","19133457","0.064418","Sweden"
"211","Starbreeze","STAR-B.ST","17840772","0.0109827","Sweden"
"212","MAG Interactive","MAGI.ST","16619646","0.627283","Sweden"
"213","Thunderful Group","THUNDR.ST","12706234","0.0311529","Sweden"
"214","Gaming Corps","GCOR.ST","12594455","0.0865946","Sweden"
"215","Alligator Bioscience AB","ATORX.ST","9595940","0.0179525","Sweden"
"216","Fragbite Group","FRAG.ST","6601923","0.817369","Sweden"
"217","Maximum Entertainment","8R7.F","3759871","0.0172851","Sweden"
"218","Qiiwi Games","QIIWI.ST","1533538","0.165797","Sweden"
"219","Sozap","SOZAP.ST","602380","0.0270876","Sweden"
