work,workLabel,sitelinks
http://www.wikidata.org/entity/Q1767472,Änglagård,9
http://www.wikidata.org/entity/Q4992391,Balladen om Marie Krøyer,9
http://www.wikidata.org/entity/Q4765488,Anita – ur en tonårsflickas dagbok,9
http://www.wikidata.org/entity/Q4973909,Den enfaldige mördaren,9
http://www.wikidata.org/entity/Q4700549,Åke och hans värld,9
http://www.wikidata.org/entity/Q4993673,Äppelkriget,9
http://www.wikidata.org/entity/Q5975957,Jag är nyfiken – en film i blått,9
http://www.wikidata.org/entity/Q2082786,Hela vägen,9
http://www.wikidata.org/entity/Q5235995,Alla vi barn i Bullerbyn,9
http://www.wikidata.org/entity/Q2276637,Kvinna utan ansikte,9
http://www.wikidata.org/entity/Q4395391,Kådisbellan,9
http://www.wikidata.org/entity/Q1758308,Ingeborg Holm,9
http://www.wikidata.org/entity/Q1170819,Hannah med H,9
http://www.wikidata.org/entity/Q1630226,Dråpet,9
http://www.wikidata.org/entity/Q1407094,Hip hip hurra!,9
http://www.wikidata.org/entity/Q3837946,Flicka och hyacinter,9
http://www.wikidata.org/entity/Q327775,Nya hyss av Emil i Lönneberga,9
http://www.wikidata.org/entity/Q2948124,Püha Tõnu kiusamine,9
http://www.wikidata.org/entity/Q557990,Emil i Lönneberga,9
http://www.wikidata.org/entity/Q1195494,Mannen från Mallorca,9
http://www.wikidata.org/entity/Q800019,Strandvaskaren,9
http://www.wikidata.org/entity/Q10594905,Nattlek,9
http://www.wikidata.org/entity/Q15713954,Nånting måste gå sönder,9
http://www.wikidata.org/entity/Q20001979,Jag är Ingrid,9
http://www.wikidata.org/entity/Q48671726,Toppen av ingenting,9
http://www.wikidata.org/entity/Q28059207,Hundraettåringen som smet från notan och försvann,9
http://www.wikidata.org/entity/Q61642185,Koko-di koko-da,9
http://www.wikidata.org/entity/Q55749061,"Ser du månen, Daniel",9
http://www.wikidata.org/entity/Q49102385,Den blomstertid nu kommer,9
http://www.wikidata.org/entity/Q105094193,Världens vackraste pojke,9
http://www.wikidata.org/entity/Q125499005,Julies tystnad,9
http://www.wikidata.org/entity/Q120186741,Hypnosen,9
http://www.wikidata.org/entity/Q131782650,Eagles of the Republic,9
http://www.wikidata.org/entity/Q3359114,Robinson,9
http://www.wikidata.org/entity/Q6498209,Löjen och tårar,8
http://www.wikidata.org/entity/Q6470411,Lady Marions sommarflirt,8
http://www.wikidata.org/entity/Q638848,Larmar och gör sig till,8
http://www.wikidata.org/entity/Q3055315,Enskilda samtal,8
http://www.wikidata.org/entity/Q15140309,Emil & Ida i Lönneberga,8
http://www.wikidata.org/entity/Q2637845,Millennium,8
http://www.wikidata.org/entity/Q3076668,Snapphanar,8
http://www.wikidata.org/entity/Q113638147,Ronja Rövardotter,8
http://www.wikidata.org/entity/Q29384710,Bonusfamiljen,8
http://www.wikidata.org/entity/Q28154022,Vår tid är nu,8
http://www.wikidata.org/entity/Q18619811,Blå ögon,8
http://www.wikidata.org/entity/Q3702743,Anno 1790,8
http://www.wikidata.org/entity/Q3357491,Solsidan,8
http://www.wikidata.org/entity/Q20439940,Stadens Hjältar,8
http://www.wikidata.org/entity/Q2505165,Melodifestivalen 2008,8
http://www.wikidata.org/entity/Q10438507,Bänken,8
http://www.wikidata.org/entity/Q3639497,Den pornografiska jungfrun,8
http://www.wikidata.org/entity/Q10397150,1939,8
http://www.wikidata.org/entity/Q2568952,När alla vet,8
http://www.wikidata.org/entity/Q1319856,Klättertjuven,8
http://www.wikidata.org/entity/Q10263747,Daisy Diamond,8
http://www.wikidata.org/entity/Q7475995,Blodets röst,8
http://www.wikidata.org/entity/Q5616350,Sonad skuld,8
http://www.wikidata.org/entity/Q8866040,Före stormen,8
http://www.wikidata.org/entity/Q3544052,Mer om oss barn i Bullerbyn,8
http://www.wikidata.org/entity/Q5098574,Gatans barn,8
http://www.wikidata.org/entity/Q5431909,Farväl Falkenberg,8
http://www.wikidata.org/entity/Q3499597,Snabba cash II,8
http://www.wikidata.org/entity/Q3160679,Jakten,8
http://www.wikidata.org/entity/Q7282882,Raggare!,8
http://www.wikidata.org/entity/Q3153203,Intermezzo,8
http://www.wikidata.org/entity/Q1306792,En liten julsaga,8
http://www.wikidata.org/entity/Q6438945,Kronjuvelerna,8
http://www.wikidata.org/entity/Q4858087,Barabbas,8
http://www.wikidata.org/entity/Q5310123,"Du är inte klok, Madicken",8
http://www.wikidata.org/entity/Q4658858,Alldeles i närheten,8
http://www.wikidata.org/entity/Q4994653,Elvira Madigan,8
http://www.wikidata.org/entity/Q4993546,Kvinnan som drömde om en man,8
http://www.wikidata.org/entity/Q2278814,Surplus,8
http://www.wikidata.org/entity/Q7775609,Kvinnorna på taket,8
http://www.wikidata.org/entity/Q2104319,Populärmusik från Vittula,8
http://www.wikidata.org/entity/Q4251571,Domaren,8
http://www.wikidata.org/entity/Q4233797,Isbjörnskungen,8
http://www.wikidata.org/entity/Q2064233,Dirty Diaries,8
http://www.wikidata.org/entity/Q7766164,Ratataa,8
http://www.wikidata.org/entity/Q2408071,Montenegro eller Pärlor och svin,8
http://www.wikidata.org/entity/Q2263452,Sebbe,8
http://www.wikidata.org/entity/Q1671807,Den osynlige,8
http://www.wikidata.org/entity/Q3966787,Den dödes skugga,8
http://www.wikidata.org/entity/Q4147895,Gränsen,8
http://www.wikidata.org/entity/Q1767018,Den vite vikingen,8
http://www.wikidata.org/entity/Q4656126,Fången 53,8
http://www.wikidata.org/entity/Q1760040,Drottningen och jag,8
http://www.wikidata.org/entity/Q1758049,Dom kallar oss mods,8
http://www.wikidata.org/entity/Q1757147,Dunderklumpen!,8
http://www.wikidata.org/entity/Q938003,Pippi Långstrump,8
http://www.wikidata.org/entity/Q1755533,Solstorm,8
http://www.wikidata.org/entity/Q897618,Förortsungar,8
