company,companyLabel,sitelinks
http://www.wikidata.org/entity/Q49095649,Lagena,1
http://www.wikidata.org/entity/Q49103488,Norion Bank,1
http://www.wikidata.org/entity/Q60969367,Halmstads sparbank,1
http://www.wikidata.org/entity/Q76970200,Bjuvs sparbank,1
http://www.wikidata.org/entity/Q78198901,Trelleborgs stads sparbank,1
http://www.wikidata.org/entity/Q97579719,Sparbanken i Vänersborg,1
http://www.wikidata.org/entity/Q98636349,Karlskoga härads sparbank,1
http://www.wikidata.org/entity/Q98688634,EP Bank,1
http://www.wikidata.org/entity/Q135671844,Bankaktiebolaget Nordiska,1
http://www.wikidata.org/entity/Q105956429,Söderköpings bokhandel,1
http://www.wikidata.org/entity/Q106441162,Lilla Kålviks Båtbyggeri,1
http://www.wikidata.org/entity/Q108733347,Vitec Software Group AB,1
http://www.wikidata.org/entity/Q113470131,Hedemora Energi AB,1
http://www.wikidata.org/entity/Q116695582,Business Wellness Group,1
http://www.wikidata.org/entity/Q120182293,Billström Riemer Andersson AB,1
http://www.wikidata.org/entity/Q31885081,"Bohman, Hassel & Görges",1
http://www.wikidata.org/entity/Q31889774,Förlagsnätverket,1
http://www.wikidata.org/entity/Q65196520,Ronneby Bruk AB,1
http://www.wikidata.org/entity/Q85840845,Svenska Stålpressnings AB,1
http://www.wikidata.org/entity/Q90114786,Värnamo Maskin AB,1
http://www.wikidata.org/entity/Q92970802,Norrköping Vatten och Avfall,1
http://www.wikidata.org/entity/Q98072655,Landrins bil,1
