person,personLabel,sitelinks
http://www.wikidata.org/entity/Q18011169,Gustaf Nilsson,16
http://www.wikidata.org/entity/Q15838455,Erika Linder,16
http://www.wikidata.org/entity/Q18217269,Filip Dagerstål,16
http://www.wikidata.org/entity/Q18246217,Rebin Sulaka,16
http://www.wikidata.org/entity/Q16633144,Jesper Karlström,16
http://www.wikidata.org/entity/Q17265738,Kerim Mrabti,16
http://www.wikidata.org/entity/Q19694676,Oskar Svensson,16
http://www.wikidata.org/entity/Q20735451,Julia Zigiotti Olme,16
http://www.wikidata.org/entity/Q19957723,Joel Eriksson Ek,16
http://www.wikidata.org/entity/Q23915862,Fanny Roos,16
http://www.wikidata.org/entity/Q18719284,Josefin Asplund,16
http://www.wikidata.org/entity/Q22278073,Filip Gustavsson,16
http://www.wikidata.org/entity/Q26994738,Ibrahim Drešević,16
http://www.wikidata.org/entity/Q28098756,Rasmus Wranå,16
http://www.wikidata.org/entity/Q24701050,Jesper Karlsson,16
http://www.wikidata.org/entity/Q28531431,Faia Younan,16
http://www.wikidata.org/entity/Q28800878,Simon Olsson,16
http://www.wikidata.org/entity/Q37012827,Kristopher Da Graca,16
http://www.wikidata.org/entity/Q42393756,Pontus Almqvist,16
http://www.wikidata.org/entity/Q42401793,Pavle Vagic,16
http://www.wikidata.org/entity/Q66493422,Romina Pourmokhtari,16
http://www.wikidata.org/entity/Q96480192,Sebastian Nanasi,16
http://www.wikidata.org/entity/Q95513515,Jonatan Hellvig,16
http://www.wikidata.org/entity/Q132174048,Prinsessan Ines,16
http://www.wikidata.org/entity/Q961869,Oscar Lindberg,15
http://www.wikidata.org/entity/Q331267,Hanna Brodin,15
http://www.wikidata.org/entity/Q1403778,Felix Rosenqvist,15
http://www.wikidata.org/entity/Q527382,John Klingberg,15
http://www.wikidata.org/entity/Q1176428,David Rundblad,15
http://www.wikidata.org/entity/Q591400,Anton Lander,15
http://www.wikidata.org/entity/Q491204,Anders Nilsson,15
http://www.wikidata.org/entity/Q1912556,Max Friberg,15
