brand,brandLabel,sitelinks
http://www.wikidata.org/entity/Q1141123,Rosneft,45
http://www.wikidata.org/entity/Q155026,UPS,45
http://www.wikidata.org/entity/Q596139,Mattel,45
http://www.wikidata.org/entity/Q59187,Vauxhall Motors,45
http://www.wikidata.org/entity/Q17460900,Zoom Video Communications,45
http://www.wikidata.org/entity/Q30256699,Biopharmaceutical New Technologies,45
http://www.wikidata.org/entity/Q324603,Compaq,45
http://www.wikidata.org/entity/Q152815,Heckler & Koch,45
http://www.wikidata.org/entity/Q215901,JVC,45
http://www.wikidata.org/entity/Q221692,Petronas,45
http://www.wikidata.org/entity/Q160054,Axa S.A.,45
http://www.wikidata.org/entity/Q734663,TV Tokyo,45
http://www.wikidata.org/entity/Q54718,Yle,45
http://www.wikidata.org/entity/Q499707,BNP Paribas,45
http://www.wikidata.org/entity/Q1100424,Pegasus Airlines,45
http://www.wikidata.org/entity/Q129110,Telewizja Polska,45
http://www.wikidata.org/entity/Q871325,Fitch Ratings,45
http://www.wikidata.org/entity/Q714179,Snickers,44
http://www.wikidata.org/entity/Q838651,Schweppes,44
http://www.wikidata.org/entity/Q234707,Sofias tunnelbana,44
http://www.wikidata.org/entity/Q161086,JetBlue Airways,44
http://www.wikidata.org/entity/Q715113,EVA Air,44
http://www.wikidata.org/entity/Q715583,Costco,44
http://www.wikidata.org/entity/Q502121,Blackberry,44
http://www.wikidata.org/entity/Q515869,Lions Gate Entertainment,44
http://www.wikidata.org/entity/Q137910,ThyssenKrupp,44
http://www.wikidata.org/entity/Q620875,Goodyear,44
http://www.wikidata.org/entity/Q26989,Infosys,44
http://www.wikidata.org/entity/Q371068,Jack Daniel's,44
http://www.wikidata.org/entity/Q4585,Couchsurfing,44
http://www.wikidata.org/entity/Q11407,VMware,44
http://www.wikidata.org/entity/Q131728,Total Nonstop Action Wrestling,44
http://www.wikidata.org/entity/Q208305,Commodore,44
http://www.wikidata.org/entity/Q41230,Islamiska utvecklingsbanken,44
http://www.wikidata.org/entity/Q735873,Kappa,44
http://www.wikidata.org/entity/Q267282,RKO Pictures,44
http://www.wikidata.org/entity/Q269792,Ferrero,44
http://www.wikidata.org/entity/Q172721,Mercedes,44
http://www.wikidata.org/entity/Q645708,ING,44
http://www.wikidata.org/entity/Q652047,Umbro,44
http://www.wikidata.org/entity/Q677085,Symantec,44
http://www.wikidata.org/entity/Q885836,Blue Origin,44
http://www.wikidata.org/entity/Q926575,Fendi,44
http://www.wikidata.org/entity/Q661871,Jägermeister,43
http://www.wikidata.org/entity/Q15281614,Q15281614,43
http://www.wikidata.org/entity/Q327247,ASICS,43
http://www.wikidata.org/entity/Q921159,RTL Group,43
http://www.wikidata.org/entity/Q44504,Inditex,43
http://www.wikidata.org/entity/Q27377,Borgward,43
http://www.wikidata.org/entity/Q324670,Omegle,43
http://www.wikidata.org/entity/Q156203,Bild,43
http://www.wikidata.org/entity/Q223765,SECAM,43
http://www.wikidata.org/entity/Q45464,Tatra,43
http://www.wikidata.org/entity/Q471891,De Beers,43
http://www.wikidata.org/entity/Q688619,Olympus,43
http://www.wikidata.org/entity/Q1886126,Safran SA,43
http://www.wikidata.org/entity/Q172740,Cosworth,43
http://www.wikidata.org/entity/Q210057,Netscape,43
http://www.wikidata.org/entity/Q76846862,Paramount Global,42
http://www.wikidata.org/entity/Q221062,Dupont,42
http://www.wikidata.org/entity/Q333101,Japans bank,42
http://www.wikidata.org/entity/Q730179,Toei Animation,42
http://www.wikidata.org/entity/Q461631,Iran Air,42
http://www.wikidata.org/entity/Q501476,Hasbro,42
http://www.wikidata.org/entity/Q568642,Bloomsbury Publishing,42
http://www.wikidata.org/entity/Q638156,AMO ZIL,42
http://www.wikidata.org/entity/Q344341,Activision Blizzard,42
http://www.wikidata.org/entity/Q83822,ÖBB,42
